Date,Team,O.Team,Points,O.Points,Assists,O.Assists,BiggestLead,O.BiggestLead,Blocks,O.Blocks,DefensiveRebounds,O.DefensiveRebounds,FastBreakPoints,O.FastBreakPoints,FieldGoalsAttempted,O.FieldGoalsAttempted,FieldGoalsMade,O.FieldGoalsMade,Fouls,O.Fouls,FreeThrowsAttempted,O.FreeThrowsAttempted,FreeThrowsMade,O.FreeThrowsMade,MarginAtTheHalf,O.MarginAtTheHalf,OffensiveRebounds,O.OffensiveRebounds,Rebounds,O.Rebounds,Steals,O.Steals,ThreePointersAttempted,O.ThreePointersAttempted,ThreePointersMade,O.ThreePointersMade,Turnovers,O.Turnovers,Playoffs
20051101,Pelicans,Kings,93,67,21,13,28,7,4,5,46,26,20,5,73,80,35,25,21,25,22,19,19,14,11,-11,6,10,52,36,7,8,11,13,4,3,20,18,0
20051101,Seventysixers,Bucks,108,117,25,26,9,11,7,3,26,39,18,24,95,85,41,42,29,25,29,33,22,27,5,-5,13,14,39,53,10,3,12,13,4,6,8,17,0
20051101,Spurs,Nuggets,102,91,21,21,11,9,7,4,27,23,14,12,82,84,41,41,19,18,21,15,16,9,-2,2,15,12,42,35,5,6,13,7,4,0,14,13,0
20051101,Suns,Mavericks,108,111,27,16,17,4,4,6,41,41,13,14,96,94,42,42,26,30,23,28,17,19,10,-10,10,14,51,55,9,9,21,18,7,8,19,21,0
20051102,Bulls,Hornets,109,105,30,22,5,25,6,3,30,38,7,18,91,93,39,38,25,31,33,35,23,27,-19,19,13,18,43,56,8,13,21,12,8,2,18,18,0
20051102,Cavaliers,Pelicans,109,87,22,17,26,2,3,6,34,23,21,10,69,78,37,32,27,24,30,25,22,19,19,-19,9,10,43,33,8,8,21,12,13,4,16,12,0
20051102,Celtics,Knicks,114,100,24,20,15,8,11,5,38,32,17,6,88,84,37,38,24,34,47,33,35,18,-1,1,19,9,57,41,15,10,16,10,5,6,17,22,0
20051102,Grizzlies,Heat,78,97,16,19,6,20,6,7,30,41,6,20,85,78,29,37,21,29,26,21,16,16,4,-4,14,9,44,50,8,7,17,18,4,7,15,18,0
20051102,Jazz,Mavericks,93,82,15,10,11,9,15,9,36,29,8,9,74,77,32,29,26,29,34,31,22,21,-4,4,14,15,50,44,6,10,10,14,7,3,16,15,0
20051102,Magic,Pacers,78,90,22,19,5,12,4,5,26,26,8,15,71,70,31,33,22,20,19,22,13,17,-4,4,12,6,38,32,8,12,11,19,3,7,16,13,0
20051102,Nets,Bucks,96,110,18,19,16,16,8,5,30,31,8,6,77,92,31,35,29,34,44,39,29,31,2,-2,16,19,46,50,3,8,16,19,5,9,12,10,0
20051102,Nuggets,Lakers,97,99,30,24,6,7,5,9,35,37,21,15,93,82,40,36,28,28,23,30,15,21,2,-2,12,6,47,43,9,10,12,18,2,6,23,23,0
20051102,Pistons,Seventysixers,108,88,30,11,22,0,7,4,34,22,22,10,77,76,43,33,25,17,23,27,20,22,10,-10,8,10,42,32,7,7,6,5,2,0,13,13,0
20051102,Raptors,Wizards,96,99,21,28,8,10,3,4,34,34,9,20,88,85,35,41,27,22,20,24,17,13,3,-3,14,10,48,44,4,4,26,15,9,4,16,12,0
20051102,Rockets,Kings,98,89,20,21,12,9,3,2,30,34,10,4,83,83,36,34,24,25,25,24,17,20,-3,3,13,14,43,48,8,7,21,11,9,1,12,16,0
20051102,Supersonics,Clippers,93,101,21,23,13,8,4,10,24,27,13,10,80,78,33,39,22,23,25,26,17,19,0,0,12,15,36,42,9,8,27,12,10,4,19,18,0
20051102,Timberwolves,Trailblazers,90,86,25,18,15,11,8,5,34,32,17,16,81,82,37,36,17,18,18,18,10,11,3,-3,12,13,46,45,7,11,16,12,6,3,14,15,0
20051102,Warriors,Hawks,122,97,24,21,25,12,8,3,27,27,22,8,74,93,43,39,21,35,45,21,29,16,-10,10,11,20,38,47,10,12,19,10,7,3,19,20,0
20051103,Heat,Pacers,102,105,19,17,2,14,8,2,31,30,7,7,75,77,36,37,27,30,42,33,27,26,-9,9,10,9,41,39,5,8,16,10,3,5,16,11,0
20051103,Lakers,Suns,112,122,22,35,3,17,0,4,33,30,18,17,87,89,41,45,29,23,29,28,24,22,-10,10,9,9,42,39,6,6,23,23,6,10,13,9,0
20051104,Celtics,Pistons,81,82,20,17,7,6,7,3,29,30,6,10,76,76,30,30,20,21,26,21,19,17,5,-5,15,12,44,42,8,9,9,12,2,5,17,18,0
20051104,Clippers,Hawks,92,77,18,19,25,1,11,6,34,27,9,5,77,69,34,24,27,25,34,34,23,23,16,-16,17,13,51,40,10,8,7,10,1,6,18,21,0
20051104,Knicks,Wizards,75,86,11,17,2,19,3,6,30,25,10,10,82,76,27,34,22,28,28,15,19,11,-8,8,29,10,59,35,6,10,10,19,2,7,23,19,0
20051104,Magic,Grizzlies,85,94,15,17,6,11,2,2,25,28,15,14,71,68,33,32,24,20,25,26,18,20,-3,3,11,5,36,33,6,4,10,22,1,10,12,13,0
20051104,Nuggets,Trailblazers,107,68,34,20,39,0,14,12,45,28,32,12,93,87,47,29,20,18,16,20,9,7,14,-14,15,16,60,44,10,7,12,13,4,3,15,18,0
20051104,Raptors,Nets,92,102,20,21,3,24,5,1,24,32,6,9,80,75,32,36,23,25,22,31,19,21,-17,17,11,14,35,46,7,10,24,20,9,9,15,20,0
20051104,Seventysixers,Hornets,93,110,16,30,1,18,3,3,26,33,2,11,79,88,34,41,25,25,37,32,24,24,-8,8,12,15,38,48,9,7,8,8,1,4,13,12,0
20051104,Spurs,Cavaliers,102,76,27,13,28,4,6,4,42,29,12,9,80,82,44,28,22,16,8,21,4,16,5,-5,5,12,47,41,5,9,17,19,10,4,18,16,0
20051104,Supersonics,Timberwolves,107,102,18,25,8,7,4,6,25,21,11,15,83,86,35,41,29,27,36,19,33,14,0,0,18,14,43,35,10,9,25,24,4,6,21,19,0
20051104,Warriors,Jazz,85,91,13,20,2,14,9,5,25,32,15,6,78,77,29,31,32,28,38,35,22,27,-2,2,16,16,41,48,6,7,21,10,5,2,14,16,0
20051105,Hornets,Celtics,107,105,20,22,3,12,3,8,27,27,12,11,79,86,34,39,25,39,47,30,36,22,-2,2,12,15,39,42,15,11,9,15,3,5,22,24,0
20051105,Bucks,Heat,105,100,22,22,7,9,2,6,25,26,12,13,81,76,40,37,18,21,23,25,18,16,-3,3,11,10,36,36,11,7,13,25,7,10,12,17,0
20051105,Clippers,Timberwolves,100,99,22,21,11,2,5,6,37,32,12,7,89,83,39,38,28,22,22,29,18,20,5,-5,12,8,49,40,3,3,8,10,4,3,10,6,0
20051105,Grizzlies,Cavaliers,113,106,24,21,12,9,9,6,34,23,8,15,66,87,38,40,24,25,35,23,26,19,1,-1,7,12,41,35,4,6,18,19,11,7,14,8,0
20051105,Jazz,Suns,88,97,12,26,10,11,6,7,35,27,11,11,86,88,34,38,21,27,25,15,16,15,5,-5,20,7,55,34,5,10,13,21,4,6,22,9,0
20051105,Mavericks,Spurs,103,84,20,14,20,4,6,7,24,25,12,6,77,76,39,31,20,20,26,20,19,17,6,-6,14,14,38,39,12,3,9,14,6,5,12,18,0
20051105,Nets,Bulls,100,99,23,22,10,10,3,4,35,27,18,10,79,83,32,35,27,31,39,25,35,22,0,0,16,10,51,37,6,5,12,14,1,7,19,14,0
20051105,Pacers,Seventysixers,109,111,25,28,4,20,4,5,27,23,9,7,79,74,40,41,30,20,22,33,21,25,-9,9,13,6,40,29,7,8,21,11,8,4,20,11,0
20051105,Pistons,Raptors,117,84,28,21,33,0,7,1,41,32,20,12,89,77,43,32,23,29,36,20,26,16,18,-18,16,3,57,35,5,5,12,16,5,4,11,14,0
20051105,Rockets,Pelicans,84,91,17,23,8,11,8,3,36,30,6,12,74,81,26,32,29,22,28,32,25,24,0,0,11,13,47,43,3,11,22,15,7,3,17,8,0
20051105,Trailblazers,Hawks,94,93,18,20,6,4,3,10,28,24,15,2,77,74,33,35,23,29,36,23,24,16,2,-2,14,8,42,32,3,9,10,15,4,7,15,9,0
20051105,Wizards,Magic,87,79,12,12,8,9,12,3,32,31,14,10,71,83,29,26,22,25,37,35,24,24,-2,2,14,21,46,52,5,7,20,11,5,3,12,10,0
20051106,Knicks,Warriors,81,83,21,16,5,11,3,5,37,33,8,12,85,73,34,29,28,27,25,32,13,15,-7,7,14,7,51,40,4,6,13,30,0,10,18,14,0
20051106,Lakers,Nuggets,112,92,23,26,20,2,5,6,31,22,18,7,82,78,42,33,20,22,31,32,25,24,9,-9,15,10,46,32,9,12,12,15,3,2,19,20,0
20051106,Suns,Kings,117,118,35,28,10,13,10,2,30,26,17,9,86,99,48,44,27,18,16,29,12,23,5,-5,6,20,36,46,5,9,22,16,9,7,14,9,0
