Points,O.Points,Assists,O.Assists,Blocks,O.Blocks,DefensiveRebounds,O.DefensiveRebounds,Fouls,O.Fouls,FreeThrowsAttempted,O.FreeThrowsAttempted,FreeThrowsMade,O.FreeThrowsMade,OffensiveRebounds,O.OffensiveRebounds,Steals,O.Steals,ThreePointersAttempted,O.ThreePointersAttempted,ThreePointersMade,O.ThreePointersMade,Turnovers,O.Turnovers,TwoPointersMade,TwoPointersAttempted,O.TwoPointersMade,O.TwoPointersAttempted
93,67,21,13,4,5,46,26,21,25,22,19,19,14,6,10,7,8,11,13,4,3,20,18,31,62,22,67
108,117,25,26,7,3,26,39,29,25,29,33,22,27,13,14,10,3,12,13,4,6,8,17,37,83,36,72
102,91,21,21,7,4,27,23,19,18,21,15,16,9,15,12,5,6,13,7,4,0,14,13,37,69,41,77
108,111,27,16,4,6,41,41,26,30,23,28,17,19,10,14,9,9,21,18,7,8,19,21,35,75,34,76
109,105,30,22,6,3,30,38,25,31,33,35,23,27,13,18,8,13,21,12,8,2,18,18,31,70,36,81
109,87,22,17,3,6,34,23,27,24,30,25,22,19,9,10,8,8,21,12,13,4,16,12,24,48,28,66
114,100,24,20,11,5,38,32,24,34,47,33,35,18,19,9,15,10,16,10,5,6,17,22,32,72,32,74
78,97,16,19,6,7,30,41,21,29,26,21,16,16,14,9,8,7,17,18,4,7,15,18,25,68,30,60
93,82,15,10,15,9,36,29,26,29,34,31,22,21,14,15,6,10,10,14,7,3,16,15,25,64,26,63
78,90,22,19,4,5,26,26,22,20,19,22,13,17,12,6,8,12,11,19,3,7,16,13,28,60,26,51
96,110,18,19,8,5,30,31,29,34,44,39,29,31,16,19,3,8,16,19,5,9,12,10,26,61,26,73
97,99,30,24,5,9,35,37,28,28,23,30,15,21,12,6,9,10,12,18,2,6,23,23,38,81,30,64
108,88,30,11,7,4,34,22,25,17,23,27,20,22,8,10,7,7,6,5,2,0,13,13,41,71,33,71
96,99,21,28,3,4,34,34,27,22,20,24,17,13,14,10,4,4,26,15,9,4,16,12,26,62,37,70
98,89,20,21,3,2,30,34,24,25,25,24,17,20,13,14,8,7,21,11,9,1,12,16,27,62,33,72
93,101,21,23,4,10,24,27,22,23,25,26,17,19,12,15,9,8,27,12,10,4,19,18,23,53,35,66
90,86,25,18,8,5,34,32,17,18,18,18,10,11,12,13,7,11,16,12,6,3,14,15,31,65,33,70
122,97,24,21,8,3,27,27,21,35,45,21,29,16,11,20,10,12,19,10,7,3,19,20,36,55,36,83
102,105,19,17,8,2,31,30,27,30,42,33,27,26,10,9,5,8,16,10,3,5,16,11,33,59,32,67
112,122,22,35,0,4,33,30,29,23,29,28,24,22,9,9,6,6,23,23,6,10,13,9,35,64,35,66
81,82,20,17,7,3,29,30,20,21,26,21,19,17,15,12,8,9,9,12,2,5,17,18,28,67,25,64
92,77,18,19,11,6,34,27,27,25,34,34,23,23,17,13,10,8,7,10,1,6,18,21,33,70,18,59
75,86,11,17,3,6,30,25,22,28,28,15,19,11,29,10,6,10,10,19,2,7,23,19,25,72,27,57
85,94,15,17,2,2,25,28,24,20,25,26,18,20,11,5,6,4,10,22,1,10,12,13,32,61,22,46
107,68,34,20,14,12,45,28,20,18,16,20,9,7,15,16,10,7,12,13,4,3,15,18,43,81,26,74
92,102,20,21,5,1,24,32,23,25,22,31,19,21,11,14,7,10,24,20,9,9,15,20,23,56,27,55
93,110,16,30,3,3,26,33,25,25,37,32,24,24,12,15,9,7,8,8,1,4,13,12,33,71,37,80
102,76,27,13,6,4,42,29,22,16,8,21,4,16,5,12,5,9,17,19,10,4,18,16,34,63,24,63
107,102,18,25,4,6,25,21,29,27,36,19,33,14,18,14,10,9,25,24,4,6,21,19,31,58,35,62
85,91,13,20,9,5,25,32,32,28,38,35,22,27,16,16,6,7,21,10,5,2,14,16,24,57,29,67
107,105,20,22,3,8,27,27,25,39,47,30,36,22,12,15,15,11,9,15,3,5,22,24,31,70,34,71
105,100,22,22,2,6,25,26,18,21,23,25,18,16,11,10,11,7,13,25,7,10,12,17,33,68,27,51
100,99,22,21,5,6,37,32,28,22,22,29,18,20,12,8,3,3,8,10,4,3,10,6,35,81,35,73
113,106,24,21,9,6,34,23,24,25,35,23,26,19,7,12,4,6,18,19,11,7,14,8,27,48,33,68
88,97,12,26,6,7,35,27,21,27,25,15,16,15,20,7,5,10,13,21,4,6,22,9,30,73,32,67
103,84,20,14,6,7,24,25,20,20,26,20,19,17,14,14,12,3,9,14,6,5,12,18,33,68,26,62
100,99,23,22,3,4,35,27,27,31,39,25,35,22,16,10,6,5,12,14,1,7,19,14,31,67,28,69
109,111,25,28,4,5,27,23,30,20,22,33,21,25,13,6,7,8,21,11,8,4,20,11,32,58,37,63
117,84,28,21,7,1,41,32,23,29,36,20,26,16,16,3,5,5,12,16,5,4,11,14,38,77,28,61
84,91,17,23,8,3,36,30,29,22,28,32,25,24,11,13,3,11,22,15,7,3,17,8,19,52,29,66
94,93,18,20,3,10,28,24,23,29,36,23,24,16,14,8,3,9,10,15,4,7,15,9,29,67,28,59
87,79,12,12,12,3,32,31,22,25,37,35,24,24,14,21,5,7,20,11,5,3,12,10,24,51,23,72
81,83,21,16,3,5,37,33,28,27,25,32,13,15,14,7,4,6,13,30,0,10,18,14,34,72,19,43
112,92,23,26,5,6,31,22,20,22,31,32,25,24,15,10,9,12,12,15,3,2,19,20,39,70,31,63
117,118,35,28,10,2,30,26,27,18,16,29,12,23,6,20,5,9,22,16,9,7,14,9,39,64,37,83
91,95,17,20,4,11,26,34,37,32,36,40,27,23,18,17,12,3,12,12,2,4,12,22,29,77,30,64
95,104,19,29,3,9,39,42,25,21,25,23,20,18,8,7,7,6,13,23,3,8,12,15,33,78,31,63
90,89,21,12,9,3,24,24,21,23,24,25,17,18,9,16,7,5,19,9,5,3,11,14,29,51,31,67
93,105,21,17,4,5,21,33,20,20,26,34,16,29,9,14,8,7,8,17,1,4,10,15,37,69,32,57
93,78,22,16,9,3,29,30,23,20,21,24,16,18,5,9,7,4,11,13,1,0,12,16,37,61,30,62
103,110,30,23,3,3,27,33,27,19,11,26,7,19,15,7,11,2,15,27,6,13,15,17,39,79,26,51
94,69,25,14,5,1,33,33,21,21,23,26,12,18,10,12,9,8,17,24,8,5,14,19,29,58,18,46
97,103,11,21,1,4,31,26,25,24,26,33,19,20,9,6,5,15,15,18,4,7,22,14,33,60,31,55
88,102,24,26,3,4,22,31,16,16,16,23,14,19,10,13,6,12,6,14,2,5,14,14,34,72,34,63
74,76,17,11,9,7,29,31,21,19,19,22,18,15,7,10,9,4,16,13,4,5,12,15,22,54,23,61
86,94,16,16,5,5,26,34,23,20,19,20,11,16,12,10,14,6,7,13,1,4,12,20,36,83,33,62
85,84,17,20,2,4,38,28,20,25,26,20,17,15,7,14,7,9,12,31,6,9,26,15,25,55,21,58
112,85,18,19,6,0,35,12,16,29,33,13,31,7,21,9,3,10,14,27,5,10,19,9,33,62,24,56
99,98,26,25,3,3,28,21,24,24,26,26,20,12,4,12,13,12,9,23,7,10,18,16,29,52,28,51
83,88,15,15,3,3,25,33,25,24,18,33,15,28,8,10,11,2,8,6,0,4,13,20,34,69,24,57
91,83,26,25,6,2,35,25,23,28,32,18,21,15,9,14,5,8,12,17,4,6,14,10,29,55,25,65
107,91,28,21,10,2,35,24,25,24,27,29,21,20,21,12,4,7,13,21,2,9,12,11,40,75,22,60
95,90,20,19,2,8,31,33,24,30,38,28,27,19,9,14,9,7,10,11,4,3,13,21,28,65,31,63
112,97,23,19,6,8,30,24,22,23,28,30,24,20,13,12,8,5,5,14,2,3,12,14,41,78,34,64
88,74,22,17,9,1,29,29,23,22,19,14,17,8,10,9,6,6,15,6,3,2,13,13,31,61,30,72
95,83,13,13,7,5,27,30,26,30,31,35,19,26,17,16,10,5,14,5,2,1,11,19,35,69,27,66
97,102,20,26,3,5,27,33,19,25,29,21,23,18,18,12,5,2,17,5,4,2,8,12,31,77,39,77
95,102,19,18,6,7,25,37,23,26,27,35,20,27,17,10,4,8,9,6,1,3,12,17,36,82,33,69
